,season,first_name,last_name,position,origin,destination,transfer_date,rating,stars,eligibility
1865,2022,Wesley,Walker,S,Georgia Tech,Tennessee,2022-02-21T17:56:00.000Z,0.87,3.0,Immediate
1866,2022,Jarek,Broussard,RB,Colorado,Michigan State,2022-01-13T20:23:00.000Z,0.89,3.0,Immediate
1867,2022,Thomas,Shelmire,IOL,SMU,,2022-05-20T19:46:00.000Z,,3.0,Immediate
1868,2022,DJ,Johnson,OLB,Illinois,Louisiana Tech,2022-06-02T22:16:00.000Z,,3.0,Immediate
1869,2022,Tyler,Harrell,WR,Louisville,Alabama,2022-04-12T19:16:00.000Z,0.91,4.0,Immediate
1870,2022,Ryan,Wills,OT,Penn State,,2022-03-25T12:14:00.000Z,,2.0,Immediate
1871,2022,Liridon,Mujezinovic,OT,Maryland,,2022-05-01T14:07:00.000Z,,3.0,Immediate
1872,2022,Vidal,Scott,DL,Arkansas State,,2022-04-01T19:25:00.000Z,,3.0,Immediate
1873,2022,Cole,Spencer,OT,Western Kentucky,Texas Tech,2022-02-14T21:58:00.000Z,0.91,4.0,Immediate
1874,2022,Eric,Gentry,LB,Arizona State,USC,2022-04-21T15:27:00.000Z,0.93,4.0,Immediate
1875,2022,TQ,Jackson,CB,SMU,,2022-04-21T17:25:00.000Z,0.86,3.0,Immediate
1876,2022,Clay,Millen,QB,Nevada,Colorado State,2021-12-10T17:06:00.000Z,0.85,3.0,Immediate
1877,2022,Jordan,Young,WR,Florida State,Florida Atlantic,2022-04-15T02:05:00.000Z,,3.0,Immediate
1878,2022,Cruz,Temple,LB,East Carolina,Arkansas State,2022-04-14T18:57:00.000Z,,3.0,Immediate
1879,2022,Shemar,Thornton,ATH,Florida International,Northern Illinois,2021-12-15T06:10:00.000Z,,2.0,Immediate
1880,2022,Dylan,Davis,OT,Furman,Illinois,2022-04-30T19:23:00.000Z,,,Immediate
1881,2022,Kevin,Schaeffer,TE,Rutgers,,2022-04-21T17:25:00.000Z,,,Immediate
1882,2022,Joseph,Evans,DL,LSU,UT San Antonio,2022-04-26T17:59:00.000Z,,3.0,Immediate
1883,2022,Tyrone,Hopper,LB,North Carolina,Missouri,2021-12-22T18:15:00.000Z,0.87,3.0,Immediate
1884,2022,Jordan,Brown,ATH,Kansas,Texas Tech,2021-11-08T22:50:00.000Z,0.84,3.0,Immediate
1885,2022,Chase,Monroe,LB,Wake Forest,Charlotte,2022-04-05T16:32:00.000Z,,3.0,Immediate
1886,2022,Devan,Barrett,CB,Troy,,2022-02-09T15:44:00.000Z,0.84,3.0,Immediate
1887,2022,AJ,Watts,CB,Akron,,2022-01-19T16:57:00.000Z,,2.0,Immediate
1888,2022,Tyler,Page,WR,SMU,Appalachian State,2022-05-02T19:30:00.000Z,,3.0,Immediate
1889,2022,Micah,Mariteragi,OT,Virginia,,2021-12-27T14:43:00.000Z,,3.0,Immediate
1890,2022,Corey,Rucker,WR,Arkansas State,South Carolina,2022-03-07T22:51:00.000Z,0.88,3.0,Immediate
1891,2022,Darrius,Smith,RB,Arizona,,2021-12-07T20:54:00.000Z,,3.0,Immediate
1892,2022,Ke'Andre,Street,WR,Houston,,2022-04-04T13:24:00.000Z,,3.0,Immediate
1893,2022,Billy,Pospisil III,WR,Washington State,Colorado Mines,2022-01-10T18:02:00.000Z,,3.0,Immediate
1894,2022,Javin,Burke,S,Virginia,,2022-06-10T18:24:00.000Z,,3.0,Immediate
1895,2022,Daryl,Porter,CB,West Virginia,Miami,2022-02-17T02:40:00.000Z,0.89,3.0,Immediate
1896,2022,Jaylen,Moody,LB,Alabama,,2022-01-13T10:44:00.000Z,0.82,3.0,Immediate
1897,2022,Stone,Eby,SDE,SMU,,2022-01-06T15:51:00.000Z,0.83,3.0,Immediate
1898,2022,Edward,Haralson,DL,Louisiana Monroe,,2021-10-28T18:36:00.000Z,0.75,2.0,Immediate
1899,2022,Leon,Williams,LB,Kent State,,2022-05-02T16:55:00.000Z,,3.0,Immediate
1900,2022,Tyson,Thompson,WR,Houston Christian,Rice,2022-04-30T00:23:00.000Z,,,Immediate
1901,2022,Peter,Costelli,QB,Utah,Troy,2021-11-23T21:04:00.000Z,,4.0,Immediate
1902,2022,Kylan,Watkins,WR,Memphis,,2022-01-14T20:12:00.000Z,,2.0,Immediate
1903,2022,Dar'jarri,Coleman,EDGE,Jacksonville State,,2022-03-09T15:01:00.000Z,,,Immediate
1904,2022,Enoch,Nawahine,RB,Utah State,,2022-03-08T16:32:00.000Z,,2.0,Immediate
1905,2022,Christian,Curatolo,OT,Lehigh,Boston College,2022-03-01T06:00:00.000Z,,,Immediate
1906,2022,Tiaoalii,Savea,DL,UCLA,Arizona,2022-01-07T14:47:00.000Z,0.88,3.0,Immediate
1907,2022,Jalik,Yancey,CB,Eastern Michigan,,2022-04-22T14:53:00.000Z,,,Immediate
1908,2022,Tony,Wallace,CB,TCU,UT San Antonio,2021-11-16T06:00:00.000Z,,3.0,TBD
1909,2022,Meki,Pei,S,Washington,,2022-04-25T19:13:00.000Z,,3.0,Immediate
1910,2022,Kelsen,Hennessy,DL,Oregon State,,2021-11-09T22:42:00.000Z,0.79,2.0,Immediate
1911,2022,Ryan,Keeler,DL,Rutgers,,2022-04-30T19:45:00.000Z,,3.0,Immediate
1912,2022,Fred,Martin,CB,Oregon State,,2022-06-30T16:20:00.000Z,,,Immediate
1913,2022,Josh,Brown,CB,Troy,,2022-06-20T14:36:00.000Z,,3.0,Immediate
